Scaling parameters by 0.62 to account for a batch size of 5.
Per-GPU batch size is less than the recommended limit for batch norm. Disabling batch norm.
loading annotations into memory...
Done (t=10.04s)
creating index...
index created!
loading annotations into memory...
Done (t=1.21s)
creating index...
index created!
Resuming training, loading weights/yolact_im700_54_800000.pth...
Ignoring "Error(s) in loading state_dict for Yolact:
	size mismatch for prediction_layers.0.conf_layer.weight: copying a param with shape torch.Size([243, 256, 3, 3]) from checkpoint, the shape in current model is torch.Size([6, 256, 3, 3]).
	size mismatch for prediction_layers.0.conf_layer.bias: copying a param with shape torch.Size([243]) from checkpoint, the shape in current model is torch.Size([6]).
	size mismatch for semantic_seg_conv.weight: copying a param with shape torch.Size([80, 256, 1, 1]) from checkpoint, the shape in current model is torch.Size([1, 256, 1, 1]).
	size mismatch for semantic_seg_conv.bias: copying a param with shape torch.Size([80]) from checkpoint, the shape in current model is torch.Size([1])."
Begin training!

[  0]     610 || B: 0.615 | C: 0.937 | M: 0.457 | S: 0.040 | T: 2.049 || ETA: 4 days, 11:54:44 || timer: 0.305
[  0]     620 || B: 0.609 | C: 0.935 | M: 0.474 | S: 0.038 | T: 2.056 || ETA: 4 days, 11:55:10 || timer: 0.305
[  0]     630 || B: 0.628 | C: 0.912 | M: 0.479 | S: 0.037 | T: 2.056 || ETA: 4 days, 11:55:57 || timer: 0.308
[  0]     640 || B: 0.637 | C: 0.954 | M: 0.487 | S: 0.036 | T: 2.114 || ETA: 4 days, 11:56:12 || timer: 0.304
[  0]     650 || B: 0.644 | C: 0.912 | M: 0.501 | S: 0.036 | T: 2.094 || ETA: 4 days, 11:56:54 || timer: 0.303
[  0]     660 || B: 0.635 | C: 0.918 | M: 0.501 | S: 0.036 | T: 2.091 || ETA: 4 days, 11:56:57 || timer: 0.304
[  0]     670 || B: 0.659 | C: 0.961 | M: 0.490 | S: 0.035 | T: 2.145 || ETA: 4 days, 11:57:09 || timer: 0.308
[  0]     680 || B: 0.631 | C: 0.930 | M: 0.489 | S: 0.035 | T: 2.085 || ETA: 4 days, 11:57:35 || timer: 0.305
[  0]     690 || B: 0.614 | C: 0.924 | M: 0.488 | S: 0.034 | T: 2.060 || ETA: 4 days, 11:58:05 || timer: 0.307
[  0]     700 || B: 0.632 | C: 0.925 | M: 0.499 | S: 0.033 | T: 2.090 || ETA: 4 days, 11:58:41 || timer: 0.305
[  0]     710 || B: 0.611 | C: 0.980 | M: 0.498 | S: 0.046 | T: 2.135 || ETA: 4 days, 11:58:44 || timer: 0.305
[  0]     720 || B: 0.607 | C: 1.005 | M: 0.502 | S: 0.049 | T: 2.162 || ETA: 4 days, 11:58:55 || timer: 0.305
[  0]     730 || B: 0.650 | C: 1.051 | M: 0.509 | S: 0.052 | T: 2.261 || ETA: 4 days, 11:59:12 || timer: 0.303
[  0]     740 || B: 0.694 | C: 1.084 | M: 0.513 | S: 0.055 | T: 2.346 || ETA: 4 days, 11:59:46 || timer: 0.307
[  0]     750 || B: 0.738 | C: 1.185 | M: 0.627 | S: 0.066 | T: 2.615 || ETA: 4 days, 12:00:11 || timer: 0.305
[  0]     760 || B: 0.814 | C: 1.280 | M: 0.677 | S: 0.070 | T: 2.841 || ETA: 4 days, 12:00:25 || timer: 0.304
[  0]     770 || B: 0.858 | C: 1.291 | M: 0.742 | S: 0.073 | T: 2.963 || ETA: 4 days, 12:00:24 || timer: 0.305
[  0]     780 || B: 0.906 | C: 1.342 | M: 0.771 | S: 0.078 | T: 3.097 || ETA: 4 days, 12:00:47 || timer: 0.302
[  0]     790 || B: 0.950 | C: 1.374 | M: 0.796 | S: 0.080 | T: 3.200 || ETA: 4 days, 12:01:07 || timer: 0.303
[  0]     800 || B: 0.970 | C: 1.404 | M: 0.804 | S: 0.081 | T: 3.259 || ETA: 4 days, 12:01:11 || timer: 0.306
[  0]     810 || B: 1.055 | C: 1.382 | M: 0.807 | S: 0.069 | T: 3.313 || ETA: 4 days, 12:00:57 || timer: 0.307
[  0]     820 || B: 1.060 | C: 1.350 | M: 0.806 | S: 0.068 | T: 3.284 || ETA: 4 days, 12:01:21 || timer: 0.304
[  0]     830 || B: 1.027 | C: 1.336 | M: 0.807 | S: 0.066 | T: 3.236 || ETA: 4 days, 12:01:19 || timer: 0.302
[  0]     840 || B: 0.982 | C: 1.282 | M: 0.819 | S: 0.063 | T: 3.146 || ETA: 4 days, 12:01:41 || timer: 0.302
[  0]     850 || B: 0.918 | C: 1.188 | M: 0.715 | S: 0.052 | T: 2.873 || ETA: 4 days, 12:01:53 || timer: 0.308
[  0]     860 || B: 0.854 | C: 1.086 | M: 0.661 | S: 0.048 | T: 2.650 || ETA: 4 days, 12:01:58 || timer: 0.305
[  0]     870 || B: 0.812 | C: 1.026 | M: 0.601 | S: 0.046 | T: 2.485 || ETA: 4 days, 12:01:58 || timer: 0.302
[  0]     880 || B: 0.784 | C: 0.989 | M: 0.562 | S: 0.042 | T: 2.377 || ETA: 4 days, 12:01:55 || timer: 0.304
[  0]     890 || B: 0.744 | C: 0.943 | M: 0.539 | S: 0.040 | T: 2.266 || ETA: 4 days, 12:02:04 || timer: 0.304
[  0]     900 || B: 0.722 | C: 0.917 | M: 0.520 | S: 0.039 | T: 2.197 || ETA: 4 days, 12:02:20 || timer: 0.305
[  0]     910 || B: 0.686 | C: 0.922 | M: 0.520 | S: 0.039 | T: 2.167 || ETA: 4 days, 12:02:51 || timer: 0.308
[  0]     920 || B: 0.689 | C: 0.932 | M: 0.502 | S: 0.037 | T: 2.160 || ETA: 4 days, 12:03:12 || timer: 0.302
[  0]     930 || B: 0.687 | C: 0.933 | M: 0.471 | S: 0.035 | T: 2.127 || ETA: 4 days, 12:03:27 || timer: 0.307
[  0]     940 || B: 0.728 | C: 0.978 | M: 0.437 | S: 0.035 | T: 2.178 || ETA: 4 days, 12:03:30 || timer: 0.304
[  0]     950 || B: 0.726 | C: 0.976 | M: 0.412 | S: 0.035 | T: 2.148 || ETA: 4 days, 12:03:25 || timer: 0.306
[  0]     960 || B: 0.720 | C: 0.992 | M: 0.405 | S: 0.034 | T: 2.152 || ETA: 4 days, 12:03:14 || timer: 0.307
[  0]     970 || B: 0.725 | C: 1.009 | M: 0.411 | S: 0.033 | T: 2.178 || ETA: 4 days, 12:03:21 || timer: 0.304
[  0]     980 || B: 0.775 | C: 1.045 | M: 0.425 | S: 0.033 | T: 2.277 || ETA: 4 days, 12:03:40 || timer: 0.306
[  0]     990 || B: 0.783 | C: 1.068 | M: 0.427 | S: 0.033 | T: 2.311 || ETA: 4 days, 12:03:54 || timer: 0.305
Saving state, iter: 1000

Computing validation mAP (this may take a while)...


Calculating mAP...

       |  all  |  .50  |  .55  |  .60  |  .65  |  .70  |  .75  |  .80  |  .85  |  .90  |  .95  |
-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
   box | 66.48 | 96.19 | 96.08 | 95.16 | 94.01 | 90.57 | 81.68 | 63.81 | 38.01 |  8.11 |  1.18 |
  mask | 82.58 | 97.19 | 97.11 | 97.03 | 96.03 | 95.94 | 94.91 | 92.16 | 86.23 | 62.96 |  6.25 |
-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+

[  0]    1000 || B: 0.777 | C: 1.037 | M: 0.423 | S: 0.033 | T: 2.270 || ETA: 5 days, 1:02:37 || timer: 36.820
[  0]    1010 || B: 0.779 | C: 1.032 | M: 0.421 | S: 0.031 | T: 2.263 || ETA: 5 days, 1:02:57 || timer: 0.309
[  0]    1020 || B: 0.749 | C: 0.992 | M: 0.403 | S: 0.029 | T: 2.173 || ETA: 5 days, 1:04:19 || timer: 0.302
[  0]    1030 || B: 0.747 | C: 0.989 | M: 0.399 | S: 0.028 | T: 2.163 || ETA: 5 days, 1:06:01 || timer: 0.309
[  0]    1040 || B: 0.693 | C: 0.919 | M: 0.397 | S: 0.029 | T: 2.038 || ETA: 5 days, 1:07:44 || timer: 0.306
[  0]    1050 || B: 0.717 | C: 0.932 | M: 0.450 | S: 0.033 | T: 2.132 || ETA: 5 days, 1:08:48 || timer: 0.311
[  0]    1060 || B: 0.741 | C: 0.956 | M: 0.451 | S: 0.035 | T: 2.183 || ETA: 5 days, 1:10:13 || timer: 0.309
[  0]    1070 || B: 0.750 | C: 0.977 | M: 0.474 | S: 0.038 | T: 2.240 || ETA: 5 days, 1:11:51 || timer: 0.304
[  0]    1080 || B: 0.716 | C: 1.011 | M: 0.484 | S: 0.042 | T: 2.253 || ETA: 5 days, 1:13:12 || timer: 0.306
[  0]    1090 || B: 0.709 | C: 1.017 | M: 0.483 | S: 0.040 | T: 2.250 || ETA: 5 days, 1:14:34 || timer: 0.306
[  0]    1100 || B: 0.692 | C: 1.048 | M: 0.493 | S: 0.039 | T: 2.272 || ETA: 5 days, 1:15:18 || timer: 0.305
[  0]    1110 || B: 0.638 | C: 0.996 | M: 0.473 | S: 0.039 | T: 2.147 || ETA: 5 days, 1:15:23 || timer: 0.304
[  0]    1120 || B: 0.701 | C: 1.063 | M: 0.474 | S: 0.040 | T: 2.278 || ETA: 5 days, 1:16:22 || timer: 0.306
[  0]    1130 || B: 0.673 | C: 1.046 | M: 0.482 | S: 0.041 | T: 2.243 || ETA: 5 days, 1:16:51 || timer: 0.305
[  0]    1140 || B: 0.705 | C: 1.071 | M: 0.477 | S: 0.041 | T: 2.294 || ETA: 5 days, 1:17:12 || timer: 0.305
[  0]    1150 || B: 0.694 | C: 1.055 | M: 0.425 | S: 0.035 | T: 2.210 || ETA: 5 days, 1:17:28 || timer: 0.305
[  0]    1160 || B: 0.665 | C: 1.045 | M: 0.427 | S: 0.034 | T: 2.171 || ETA: 5 days, 1:17:33 || timer: 0.303
[  0]    1170 || B: 0.650 | C: 1.056 | M: 0.390 | S: 0.030 | T: 2.127 || ETA: 5 days, 1:18:05 || timer: 0.303
[  0]    1180 || B: 0.601 | C: 0.952 | M: 0.365 | S: 0.026 | T: 1.944 || ETA: 5 days, 1:18:05 || timer: 0.306
[  0]    1190 || B: 0.591 | C: 0.919 | M: 0.354 | S: 0.027 | T: 1.891 || ETA: 5 days, 1:18:25 || timer: 0.307
[  0]    1200 || B: 0.608 | C: 0.921 | M: 0.349 | S: 0.028 | T: 1.906 || ETA: 5 days, 1:19:02 || timer: 0.306
[  0]    1210 || B: 0.628 | C: 0.933 | M: 0.358 | S: 0.028 | T: 1.946 || ETA: 5 days, 1:19:20 || timer: 0.308
